alias	population	latitude	longitude	ploidy_man_curated	Species_fin	ENA accession	Project
NT16.1-1	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736119	PRJEB67879
NT16.1-2	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736118	PRJEB67879
NT16.1-4	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736117	PRJEB67879
NT16.1-5	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736116	PRJEB67879
NT16.2-1	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736115	PRJEB67879
NT16.2-2	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736114	PRJEB67879
NT16.3-1	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736113	PRJEB67879
NT16.3-5	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736112	PRJEB67879
NT16.3-6	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736111	PRJEB67879
NT16.3-7	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736110	PRJEB67879
NT16.4-1	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736109	PRJEB67879
NT16.4-2	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736108	PRJEB67879
NT16.4-3	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736107	PRJEB67879
NT16.4-4	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736106	PRJEB67879
NT16.5-1	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736105	PRJEB67879
NT16.5-2	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736104	PRJEB67879
NT16.5-3	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736103	PRJEB67879
NT16.5-4	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736102	PRJEB67879
NT17.1-1	East_Siberia_2n	71.31612	129.44675	2	A. lyrata	ERR12736101	PRJEB67879
NT17.1-2	East_Siberia_2n	71.31612	129.44675	2	A. lyrata	ERR12736100	PRJEB67879
NT17.1-4	East_Siberia_2n	71.31612	129.44675	2	A. lyrata	ERR12736099	PRJEB67879
NT17.1-5	East_Siberia_2n	71.31612	129.44675	2	A. lyrata	ERR12736098	PRJEB67879
NT17.4-1	East_Siberia_2n	71.31612	129.44675	2	A. lyrata	ERR12736097	PRJEB67879
NT17.4-2	East_Siberia_2n	71.31612	129.44675	2	A. lyrata	ERR12736096	PRJEB67879
NT17.4-3	East_Siberia_2n	71.31612	129.44675	2	A. lyrata	ERR12736095	PRJEB67879
NT17.4-4	East_Siberia_2n	71.31612	129.44675	2	A. lyrata	ERR12736094	PRJEB67879
NT17.5-1	East_Siberia_2n	71.31612	129.44675	2	A. lyrata	ERR12736093	PRJEB67879
NT18-1	East_Siberia_2n	71.50507	129.28337	2	A. lyrata	ERR12736092	PRJEB67879
NT18-2	East_Siberia_2n	71.50507	129.28337	2	A. lyrata	ERR12736091	PRJEB67879
NT18-3	East_Siberia_2n	71.50507	129.28337	2	A. lyrata	ERR12736090	PRJEB67879
NT18-4	East_Siberia_2n	71.50507	129.28337	2	A. lyrata	ERR12736089	PRJEB67879
NT18-6	East_Siberia_2n	71.50507	129.28337	2	A. lyrata	ERR12736088	PRJEB67879
NT19.1-1	East_Siberia_2n	72.35875	127.65138	2	A. lyrata	ERR12736087	PRJEB67879
NT19.1-2	East_Siberia_2n	72.35875	127.65138	2	A. lyrata	ERR12736086	PRJEB67879
NT19.1-3	East_Siberia_2n	72.35875	127.65138	2	A. lyrata	ERR12736085	PRJEB67879
NT19.1-4	East_Siberia_2n	72.35875	127.65138	2	A. lyrata	ERR12736084	PRJEB67879
NT19.1-5	East_Siberia_2n	72.35875	127.65138	2	A. lyrata	ERR12736083	PRJEB67879
NT19.1-6	East_Siberia_2n	72.35875	127.65138	2	A. lyrata	ERR12736082	PRJEB67879
NT19.2-1	East_Siberia_2n	72.35875	127.65138	2	A. lyrata	ERR12736081	PRJEB67879
NT19.2-2	East_Siberia_2n	72.35875	127.65138	2	A. lyrata	ERR12736080	PRJEB67879
NT19.3-1	East_Siberia_2n	72.35875	127.65138	2	A. lyrata	ERR12736079	PRJEB67879
NT19.3-2	East_Siberia_2n	72.35875	127.65138	2	A. lyrata	ERR12736078	PRJEB67879
NT19.3-3	East_Siberia_2n	72.35875	127.65138	2	A. lyrata	ERR12736077	PRJEB67879
NT2_1_1	East_Siberia_2n	71.99619	129.12575	2	A. lyrata	ERR12736038	PRJEB67879
NT2_2_1	East_Siberia_2n	71.99619	129.12575	2	A. lyrata	ERR12736033	PRJEB67879
NT2_3_1	East_Siberia_2n	71.99619	129.12575	2	A. lyrata	ERR12736030	PRJEB67879
NT2_4_1	East_Siberia_2n	71.99619	129.12575	2	A. lyrata	ERR12736006	PRJEB67879
NT2_5_1	East_Siberia_2n	71.99619	129.12575	2	A. lyrata	ERR12736023	PRJEB67879
NT20.1-1	East_Siberia_2n	73.37268	126.45977	2	A. lyrata	ERR12736076	PRJEB67879
NT20.3-1	East_Siberia_2n	73.37268	126.45977	2	A. lyrata	ERR12736075	PRJEB67879
NT20.3-2	East_Siberia_2n	73.37268	126.45977	2	A. lyrata	ERR12736074	PRJEB67879
NT20.3-3	East_Siberia_2n	73.37268	126.45977	2	A. lyrata	ERR12736073	PRJEB67879
NT20.4-1	East_Siberia_2n	73.37268	126.45977	2	A. lyrata	ERR12736072	PRJEB67879
NT20.4-2	East_Siberia_2n	73.37268	126.45977	2	A. lyrata	ERR12736071	PRJEB67879
NT20.4-3	East_Siberia_2n	73.37268	126.45977	2	A. lyrata	ERR12736070	PRJEB67879
NT20.6-2	East_Siberia_2n	73.37268	126.45977	2	A. lyrata	ERR12736069	PRJEB67879
NT20.6-3	East_Siberia_2n	73.37268	126.45977	2	A. lyrata	ERR12736068	PRJEB67879
NT4_2_1	East_Siberia_2n	71.06107	127.56112	2	A. lyrata	ERR12736048	PRJEB67879
NT4_3_1	East_Siberia_2n	71.06107	127.56112	2	A. lyrata	ERR12736045	PRJEB67879
NT4.1	East_Siberia_2n	71.06107	127.56112	2	A. lyrata	ERR12736067	PRJEB67879
NT5_1_1	East_Siberia_2n	71.9924	127.01465	2	A. lyrata	ERR12736042	PRJEB67879
NT5_2_1	East_Siberia_2n	71.9924	127.01465	2	A. lyrata	ERR12736037	PRJEB67879
NT5_3_1	East_Siberia_2n	71.9924	127.01465	2	A. lyrata	ERR12736032	PRJEB67879
NT8_5_1	East_Siberia_2n	66.70192	123.30781	2	A. lyrata	ERR12736005	PRJEB67879
NT8.3-4	East_Siberia_2n	66.70192	123.30781	2	A. lyrata	ERR12736066	PRJEB67879
NT8.4-5	East_Siberia_2n	66.70192	123.30781	2	A. lyrata	ERR12736065	PRJEB67879
NT9_1_1	East_Siberia_2n	71.62518	128.86804	2	A. lyrata	ERR12736041	PRJEB67879
NT9_2_1	East_Siberia_2n	71.62518	128.86804	2	A. lyrata	ERR12736036	PRJEB67879
NT9_3_1	East_Siberia_2n	71.62518	128.86804	2	A. lyrata	ERR12736031	PRJEB67879
NT9_4_1	East_Siberia_2n	71.62518	128.86804	2	A. lyrata	ERR12736029	PRJEB67879
NT9_5_1	East_Siberia_2n	71.62518	128.86804	2	A. lyrata	ERR12736026	PRJEB67879
PU_1mix-1	Northern_Ural_4n	66.90776	65.69919	4	A. lyrata	ERR12742581	PRJEB67879
PU_1mix-2	Northern_Ural_4n	66.90776	65.69919	4	A. lyrata	ERR12742580	PRJEB67879
PU_2mix-1	Northern_Ural_4n	66.90819	65.6873	4	A. lyrata	ERR12742579	PRJEB67879
PU_2mix-2	Northern_Ural_4n	66.90819	65.6873	4	A. lyrata	ERR12742578	PRJEB67879
PU_3mix-1	Northern_Ural_4n	66.93358	65.6449	4	A. lyrata	ERR12742577	PRJEB67879
PU_3mix-2	Northern_Ural_4n	66.93358	65.6449	4	A. lyrata	ERR12742576	PRJEB67879
