ID	load	families_present	Lat	Long
SRR1663549	127	0.9844961240310077	42	-76
SRR1663550	126	0.9767441860465116	42	-76
SRR1663551	128	0.9922480620155039	42	-76
SRR1663552	129	1	42	-76
SRR1663553	128	0.9922480620155039	42	-76
SRR1663554	127	0.9844961240310077	42	-76
SRR1663555	127	0.9844961240310077	42	-76
SRR1663556	128	0.9922480620155039	42	-76
SRR1663557	128	0.9922480620155039	42	-76
SRR1663558	127	0.9844961240310077	42	-76
SRR1663559	128	0.9922480620155039	42	-76
SRR1663560	127	0.9844961240310077	42	-76
SRR1663561	128	0.9922480620155039	52	5
SRR1663562	127	0.9844961240310077	52	5
SRR1663563	128	0.9922480620155039	52	5
SRR1663564	129	1	52	5
SRR1663565	127	0.9844961240310077	52	5
SRR1663566	127	0.9844961240310077	52	5
SRR1663567	127	0.9844961240310077	52	5
SRR1663568	127	0.9844961240310077	52	5
SRR1663569	128	0.9922480620155039	52	5
SRR1663570	127	0.9844961240310077	52	5
SRR1663571	128	0.9922480620155039	52	5
SRR1663572	129	1	52	5
SRR1663573	128	0.9922480620155039	52	5
SRR1663574	127	0.9844961240310077	52	5
SRR1663575	128	0.9922480620155039	52	5
SRR1663576	129	1	52	5
SRR1663577	127	0.9844961240310077	52	5
SRR1663578	127	0.9844961240310077	52	5
SRR1663579	127	0.9844961240310077	52	5
SRR1663580	129	1	-43	147
SRR1663581	128	0.9922480620155039	-43	147
SRR1663582	127	0.9844961240310077	-43	147
SRR1663583	128	0.9922480620155039	-43	147
SRR1663584	129	1	-43	147
SRR1663585	128	0.9922480620155039	-43	147
SRR1663586	127	0.9844961240310077	-43	147
SRR1663587	127	0.9844961240310077	-43	147
SRR1663588	129	1	-43	147
SRR1663589	128	0.9922480620155039	-43	147
SRR1663590	126	0.9767441860465116	-43	147
SRR1663591	127	0.9844961240310077	-43	147
SRR1663592	128	0.9922480620155039	-43	147
SRR1663593	127	0.9844961240310077	-43	147
SRR1663594	127	0.9844961240310077	-43	147
SRR1663595	127	0.9844961240310077	-43	147
SRR1663596	129	1	-43	147
SRR1663597	127	0.9844961240310077	-43	147
SRR1663598	126	0.9767441860465116	-19	29
SRR1663599	128	0.9922480620155039	-19	29
SRR1663600	127	0.9844961240310077	-19	29
SRR1663601	127	0.9844961240310077	-19	29
SRR1663602	127	0.9844961240310077	-19	29
SRR1663603	127	0.9844961240310077	-19	29
SRR1663604	129	1	-19	29
SRR1663605	127	0.9844961240310077	-19	29
SRR1663606	126	0.9767441860465116	-19	29
SRR1663607	128	0.9922480620155039	-19	29
SRR1663608	128	0.9922480620155039	-19	29
SRR1663609	126	0.9767441860465116	-19	29
SRR1663610	127	0.9844961240310077	-19	29
SRR1663611	128	0.9922480620155039	-19	29
SRR1769729	128	0.9922480620155039	-19	29
SRR189038	127	0.9844961240310077	1	25
SRR189040	124	0.9612403100775194	1	25
SRR189041	128	0.9922480620155039	6	10
SRR189044	127	0.9844961240310077	6	10
SRR189045	124	0.9612403100775194	6	10
SRR189046	126	0.9767441860465116	6	10
SRR189047	126	0.9767441860465116	6	10
SRR189048	127	0.9844961240310077	6	10
SRR189049	126	0.9767441860465116	6	10
SRR189050	124	0.9612403100775194	6	10
SRR189053	126	0.9767441860465116	6	10
SRR189056	128	0.9922480620155039	7	39
SRR189058	125	0.9689922480620154	7	39
SRR189059	125	0.9689922480620154	7	39
SRR189073	128	0.9922480620155039	7	39
SRR189075	129	1	7	39
SRR189076	127	0.9844961240310077	7	39
SRR189077	126	0.9767441860465116	7	39
SRR189078	126	0.9767441860465116	8	39
SRR189082	127	0.9844961240310077	8	39
SRR189083	126	0.9767441860465116	8	39
SRR189084	127	0.9844961240310077	8	39
SRR189088	126	0.9767441860465116	46	5
SRR189089	127	0.9844961240310077	46	5
SRR189090	126	0.9767441860465116	46	5
SRR189091	124	0.9612403100775194	46	5
SRR189092	126	0.9767441860465116	46	5
SRR189093	127	0.9844961240310077	46	5
SRR189094	125	0.9689922480620154	46	5
SRR189095	126	0.9767441860465116	46	5
SRR189096	124	0.9612403100775194	46	5
SRR189100	128	0.9922480620155039	-2	14
SRR189101	127	0.9844961240310077	-2	14
SRR189102	125	0.9689922480620154	-2	14
SRR189104	127	0.9844961240310077	-2	14
SRR189105	129	1	-2	14
SRR189106	125	0.9689922480620154	-2	14
SRR189107	125	0.9689922480620154	-2	14
SRR189109	125	0.9689922480620154	-2	14
SRR189115	129	1	11	12
SRR189117	125	0.9689922480620154	11	12
SRR189118	127	0.9844961240310077	11	12
SRR189120	126	0.9767441860465116	11	12
SRR189121	128	0.9922480620155039	11	12
SRR189122	128	0.9922480620155039	11	12
SRR189239	126	0.9767441860465116	0	36
SRR189242	127	0.9844961240310077	0	36
SRR189243	125	0.9689922480620154	0	36
SRR189245	127	0.9844961240310077	0	36
SRR189246	126	0.9767441860465116	0	36
SRR189248	128	0.9922480620155039	0	36
SRR189249	129	1	0	36
SRR189250	127	0.9844961240310077	0	36
SRR189251	127	0.9844961240310077	0	36
SRR189252	128	0.9922480620155039	0	36
SRR189254	126	0.9767441860465116	0	36
SRR189255	127	0.9844961240310077	0	36
SRR189256	126	0.9767441860465116	0	36
SRR189257	128	0.9922480620155039	0	36
SRR189259	129	1	0	36
SRR189260	127	0.9844961240310077	0	36
SRR189261	125	0.9689922480620154	-1	37
SRR189262	125	0.9689922480620154	-1	37
SRR189263	127	0.9844961240310077	12	13
SRR189264	125	0.9689922480620154	12	13
SRR189265	127	0.9844961240310077	1	33
SRR189266	126	0.9767441860465116	12	13
SRR189267	128	0.9922480620155039	12	13
