Species	te	present_in
D.mel.A4.fa	Q	5
D.mel.A4.fa	AF222049	49
D.mel.A4.fa	DMZAM	47
D.mel.A4.fa	G5A	49
D.mel.A4.fa	DME010298	49
D.mel.A4.fa	DMAURA	49
D.mel.A4.fa	INVADER2	49
D.mel.A4.fa	DIVER2	49
D.mel.A4.fa	FW3	49
D.mel.A4.fa	GYPSY8	42
D.mel.A4.fa	ROXELEMENT	49
D.mel.A4.fa	GYPSY7	48
D.mel.A4.fa	G7	48
D.mel.A4.fa	GYPSY10	49
D.mel.A4.fa	QBERT	48
D.mel.A4.fa	G5_DM	49
D.mel.A4.fa	GYPSY3	47
D.mel.A4.fa	INVADER3	49
D.mel.A4.fa	FB	13
D.mel.A4.fa	GYPSY12	49
D.mel.A4.fa	ROOA_LTR	48
D.mel.A4.fa	INVADER6	49
D.mel.A4.fa	DMBARI1	49
D.mel.A4.fa	LOOPER1_DM	48
D.mel.A4.fa	TRANSIB2	49
D.mel.A4.fa	G6_DM	49
D.mel.A4.fa	DMIS297	49
D.mel.A4.fa	DMTNFB	49
D.mel.A4.fa	DM23420	49
D.mel.A4.fa	QUASIMODO	49
D.mel.A4.fa	DMIFACA	49
D.mel.A4.fa	DM14101	28
D.mel.A4.fa	DM06920	49
D.mel.A4.fa	DMBLPP	49
D.mel.A4.fa	HOPPER2	49
D.mel.A4.fa	DMMDG3	49
D.mel.A4.fa	TC1	49
D.mel.A4.fa	HEL	49
D.mel.A4.fa	GYPSY9	25
D.mel.A4.fa	TRANSIB1	49
D.mel.A4.fa	G3	48
D.mel.A4.fa	R1-2	49
D.mel.A4.fa	DMTN1731	49
D.mel.A4.fa	RT1C	49
D.mel.A4.fa	S2	49
D.mel.A4.fa	SPRINGER	49
D.mel.A4.fa	INVADER	49
D.mel.A4.fa	GYPSY2	48
D.mel.A4.fa	GYPSY4	49
D.mel.A4.fa	DOC2	49
D.mel.A4.fa	DMTOM1_LTR	49
D.mel.A4.fa	BS3	49
D.mel.A4.fa	STALKER3	49
D.mel.A4.fa	1360	49
D.mel.A4.fa	TC1-2	49
D.mel.A4.fa	DMCR1A	49
D.mel.A4.fa	DMGYPF1A	49
D.mel.A4.fa	DOC3	49
D.mel.A4.fa	DOC4	49
D.mel.A4.fa	GYPSY11	48
D.mel.A4.fa	OSV	49
D.mel.A4.fa	DMRTMGD1	49
D.mel.A4.fa	G4_DM	49
D.mel.A4.fa	DMTHB1	49
D.mel.A4.fa	JUAN	49
D.mel.A4.fa	FW2	49
D.mel.A4.fa	BS4	49
D.mel.A4.fa	DM33463	49
D.mel.A4.fa	TC3	49
D.mel.A4.fa	DM_ROO	49
D.mel.A4.fa	Tinker	49
D.mel.A4.fa	DMCOPIA	49
D.mel.A4.fa	TABOR	49
D.mel.A4.fa	DME9736	49
D.mel.A4.fa	DMW1DOC	49
D.mel.A4.fa	F	49
D.mel.A4.fa	IVK	49
D.mel.A4.fa	BLOOD	49
D.mel.A4.fa	G2	49
D.mel.A4.fa	INE1	49
D.mel.A4.fa	AF541951	49
D.mel.A4.fa	INVADER4	49
D.mel.A4.fa	JOCKEY2	49
D.mel.A4.fa	AY561850	33
D.mel.A4.fa	DMRER1DM	49
D.mel.A4.fa	TAHRE	49
D.mel.A4.fa	DMRER2DM	49
D.mel.A4.fa	GYPSY6	49
D.mel.A4.fa	TRANSIB4	49
D.mel.A4.fa	STALKER	47
D.mel.A4.fa	DMDM11	49
D.mel.A4.fa	DME487856	49
D.mel.A4.fa	CIRC	49
D.mel.A5.fa	DMMDG3	49
D.mel.A5.fa	DMTRDNA	49
D.mel.A5.fa	ROXELEMENT	49
D.mel.A5.fa	DM33463	49
D.mel.A5.fa	DME010298	49
D.mel.A5.fa	DMBARI1	49
D.mel.A5.fa	TIRANT	42
D.mel.A5.fa	GTWIN	49
D.mel.A5.fa	Beagle2	49
D.mel.A5.fa	INVADER5	48
D.mel.A5.fa	TRANSIB3	49
D.mel.A5.fa	MARINER2	49
D.mel.A5.fa	DM88	49
D.mel.A5.fa	BAGGINS	49
D.mel.A5.fa	HELITRON1_DM	49
D.mel.A5.fa	AY561850	33
D.mel.A5.fa	FB	13
D.mel.A5.fa	DM23420	49
D.mel.A5.fa	DMPOGOR11	49
D.mel.A5.fa	DME487856	49
D.mel.A5.fa	Beagle	49
D.mel.A5.fa	TABOR	49
D.mel.A5.fa	SPRINGER	49
D.mel.A5.fa	QUASIMODO	49
D.mel.A5.fa	FROGGER	49
D.mel.A5.fa	G6_DM	49
D.mel.A5.fa	STALKER2	49
D.mel.A5.fa	DME9736	49
D.mel.A5.fa	DOC5	49
D.mel.A5.fa	ACCORD	49
D.mel.A5.fa	Q	5
D.mel.A5.fa	INVADER3	49
D.mel.A5.fa	DMZAM	47
D.mel.A5.fa	BLOOD	49
D.mel.A5.fa	QBERT	48
D.mel.A5.fa	DMAURA	49
D.mel.A5.fa	INVADER	49
D.mel.A5.fa	GYPSY6	49
D.mel.A5.fa	FW3	49
D.mel.A5.fa	DIVER2	49
D.mel.A5.fa	TRANSIB2	49
D.mel.A5.fa	TRANSIB4	49
D.mel.A5.fa	GYPSY8	42
D.mel.A5.fa	GYPSY7	48
D.mel.A5.fa	G7	48
D.mel.A5.fa	STALKER4	49
D.mel.A5.fa	GYPSY10	49
D.mel.A5.fa	GYPSY3	47
D.mel.A5.fa	ROVER	49
D.mel.A5.fa	GYPSY12	49
D.mel.A5.fa	INVADER6	49
D.mel.A5.fa	LOOPER1_DM	48
D.mel.A5.fa	DME278684	49
D.mel.A5.fa	DMCOPIA	49
D.mel.A5.fa	DMTNFB	49
D.mel.A5.fa	DMHFL1	41
D.mel.A5.fa	GYPSY5	45
D.mel.A5.fa	AF222049	49
D.mel.A5.fa	DMW1DOC	49
D.mel.A5.fa	OPUS	49
D.mel.A5.fa	F	49
D.mel.A5.fa	DMBLPP	49
D.mel.A5.fa	HOPPER2	49
D.mel.A5.fa	DM_ROO	49
D.mel.A5.fa	DMIFACA	49
D.mel.A5.fa	DMTHB1	49
D.mel.A5.fa	HEL	49
D.mel.A5.fa	INVADER2	49
D.mel.A5.fa	TRANSIB1	49
D.mel.A5.fa	McCLINTOCK	49
D.mel.A5.fa	G3	48
D.mel.A5.fa	R1-2	49
D.mel.A5.fa	DMTN1731	49
D.mel.A5.fa	RT1C	49
D.mel.A5.fa	S2	49
D.mel.A5.fa	G5A	49
D.mel.A5.fa	INVADER4	49
D.mel.A5.fa	G2	49
D.mel.A5.fa	GYPSY2	48
D.mel.A5.fa	DOC2	49
D.mel.A5.fa	DMTOM1_LTR	49
D.mel.A5.fa	STALKER	47
D.mel.A5.fa	GYPSY9	25
D.mel.A5.fa	BS3	49
D.mel.A5.fa	GYPSY4	49
D.mel.A5.fa	DMCR1A	49
D.mel.A5.fa	1360	49
D.mel.A5.fa	DOC3	49
D.mel.A5.fa	DOC4	49
D.mel.A5.fa	GYPSY11	48
D.mel.A5.fa	OSV	49
D.mel.A5.fa	ROOA_LTR	48
D.mel.A5.fa	G4_DM	49
D.mel.A5.fa	FW2	49
D.mel.A5.fa	BS4	49
D.mel.A5.fa	TC3	49
D.mel.A5.fa	TC1	49
D.mel.A5.fa	G5_DM	49
D.mel.A5.fa	IVK	49
D.mel.A5.fa	DMIS297	49
D.mel.A5.fa	DMIS176	49
D.mel.A5.fa	RT1B	49
D.mel.A5.fa	DMGYPF1A	49
D.mel.A5.fa	JUAN	49
D.mel.A5.fa	BS	49
D.mel.A5.fa	DMRTMGD1	49
D.mel.A5.fa	DMLINEJA	49
D.mel.A5.fa	INE1	49
D.mel.A5.fa	TC1-2	49
D.mel.A5.fa	AF541951	49
D.mel.A5.fa	JOCKEY2	49
D.mel.A5.fa	Tinker	49
D.mel.A5.fa	CIRC	49
D.mel.A5.fa	DMU89994	49
D.mel.A5.fa	STALKER3	49
D.mel.A5.fa	DMREPG	49
D.mel.A5.fa	412	49
D.mel.A5.fa	DMDM11	49
D.mel.A5.fa	DMRER2DM	49
D.mel.A5.fa	DMRER1DM	49
D.mel.A5.fa	DM14101	28
D.mel.A5.fa	TARTC	35
D.mel.A5.fa	DM06920	49
D.mel.A5.fa	TAHRE	49
D.mel.A6.fa	DMLINEJA	49
D.mel.A6.fa	STALKER2	49
D.mel.A6.fa	TABOR	49
D.mel.A6.fa	DMTNFB	49
D.mel.A6.fa	DMTRDNA	49
D.mel.A6.fa	ROVER	49
D.mel.A6.fa	Beagle	49
D.mel.A6.fa	GYPSY5	45
D.mel.A6.fa	DMGYPF1A	49
D.mel.A6.fa	GTWIN	49
D.mel.A6.fa	STALKER3	49
D.mel.A6.fa	INVADER3	49
D.mel.A6.fa	INVADER5	48
D.mel.A6.fa	F	49
D.mel.A6.fa	MARINER2	49
D.mel.A6.fa	BAGGINS	49
D.mel.A6.fa	HELITRON1_DM	49
D.mel.A6.fa	DMRER2DM	49
D.mel.A6.fa	DMRER1DM	49
D.mel.A6.fa	DMBLPP	49
D.mel.A6.fa	DMREPG	49
D.mel.A6.fa	TARTC	35
D.mel.A6.fa	DM06920	49
D.mel.A6.fa	AY561850	33
D.mel.A6.fa	DMHFL1	41
D.mel.A6.fa	JUAN	49
D.mel.A6.fa	DMIFACA	49
D.mel.A6.fa	IVK	49
D.mel.A6.fa	DMU89994	49
D.mel.A6.fa	FROGGER	49
D.mel.A6.fa	Beagle2	49
D.mel.A6.fa	G6_DM	49
D.mel.A6.fa	RT1B	49
D.mel.A6.fa	DOC5	49
D.mel.A6.fa	Q	5
D.mel.A6.fa	GYPSY12	49
D.mel.A6.fa	DMZAM	47
D.mel.A6.fa	TRANSIB3	49
D.mel.A6.fa	G5A	49
D.mel.A6.fa	FW3	49
D.mel.A6.fa	GYPSY6	49
D.mel.A6.fa	DIVER2	49
D.mel.A6.fa	TRANSIB4	49
D.mel.A6.fa	GYPSY8	42
D.mel.A6.fa	GYPSY7	48
D.mel.A6.fa	G7	48
D.mel.A6.fa	GYPSY10	49
D.mel.A6.fa	QBERT	48
D.mel.A6.fa	G5_DM	49
D.mel.A6.fa	GYPSY3	47
D.mel.A6.fa	LOOPER1_DM	48
D.mel.A6.fa	DME9736	49
D.mel.A6.fa	DMIS297	49
D.mel.A6.fa	DMBARI1	49
D.mel.A6.fa	DM23420	49
D.mel.A6.fa	DMCOPIA	49
D.mel.A6.fa	QUASIMODO	49
D.mel.A6.fa	BLOOD	49
D.mel.A6.fa	AF222049	49
D.mel.A6.fa	DME278684	49
D.mel.A6.fa	412	49
D.mel.A6.fa	TIRANT	42
D.mel.A6.fa	BS	49
D.mel.A6.fa	HOPPER2	49
D.mel.A6.fa	TC1	49
D.mel.A6.fa	FB	13
D.mel.A6.fa	G2	49
D.mel.A6.fa	DME487856	49
D.mel.A6.fa	HEL	49
D.mel.A6.fa	STALKER4	49
D.mel.A6.fa	DMTHB1	49
D.mel.A6.fa	ROXELEMENT	49
D.mel.A6.fa	TRANSIB1	49
D.mel.A6.fa	G3	48
D.mel.A6.fa	TRANSIB2	49
D.mel.A6.fa	R1-2	49
D.mel.A6.fa	DMTN1731	49
D.mel.A6.fa	DM88	49
D.mel.A6.fa	ACCORD	49
D.mel.A6.fa	McCLINTOCK	49
D.mel.A6.fa	RT1C	49
D.mel.A6.fa	S2	49
D.mel.A6.fa	SPRINGER	49
D.mel.A6.fa	OPUS	49
D.mel.A6.fa	INVADER6	49
D.mel.A6.fa	INVADER4	49
D.mel.A6.fa	GYPSY4	49
D.mel.A6.fa	DOC2	49
D.mel.A6.fa	DMTOM1_LTR	49
D.mel.A6.fa	STALKER	47
D.mel.A6.fa	GYPSY9	25
D.mel.A6.fa	GYPSY2	48
D.mel.A6.fa	DMAURA	49
D.mel.A6.fa	DME010298	49
D.mel.A6.fa	BS3	49
D.mel.A6.fa	1360	49
D.mel.A6.fa	DOC3	49
D.mel.A6.fa	DOC4	49
D.mel.A6.fa	GYPSY11	48
D.mel.A6.fa	OSV	49
D.mel.A6.fa	INVADER2	49
D.mel.A6.fa	ROOA_LTR	48
D.mel.A6.fa	G4_DM	49
D.mel.A6.fa	FW2	49
D.mel.A6.fa	BS4	49
D.mel.A6.fa	DM33463	49
D.mel.A6.fa	TC3	49
D.mel.A6.fa	DMPOGOR11	49
D.mel.A6.fa	DMW1DOC	49
D.mel.A6.fa	DM_ROO	49
D.mel.A6.fa	Tinker	49
D.mel.A6.fa	DMMDG3	49
D.mel.A6.fa	DMRTMGD1	49
D.mel.A6.fa	DM14101	28
D.mel.A6.fa	TAHRE	49
D.mel.A6.fa	INE1	49
D.mel.A6.fa	DMCR1A	49
D.mel.A6.fa	TC1-2	49
D.mel.A6.fa	AF541951	49
D.mel.A6.fa	JOCKEY2	49
D.mel.A6.fa	DMIS176	49
D.mel.A6.fa	INVADER	49
D.mel.A6.fa	CIRC	49
D.mel.A6.fa	DMDM11	49
D.mel.A7.fa	DMMDG3	49
D.mel.A7.fa	GYPSY6	49
D.mel.A7.fa	DME278684	49
D.mel.A7.fa	DME9736	49
D.mel.A7.fa	GTWIN	49
D.mel.A7.fa	CIRC	49
D.mel.A7.fa	DM33463	49
D.mel.A7.fa	INVADER5	48
D.mel.A7.fa	TRANSIB3	49
D.mel.A7.fa	TC1	49
D.mel.A7.fa	BAGGINS	49
D.mel.A7.fa	HELITRON1_DM	49
D.mel.A7.fa	DME010298	49
D.mel.A7.fa	DMREPG	49
D.mel.A7.fa	DM23420	49
D.mel.A7.fa	DMW1DOC	49
D.mel.A7.fa	1360	49
D.mel.A7.fa	DOC3	49
D.mel.A7.fa	FROGGER	49
D.mel.A7.fa	DOC5	49
D.mel.A7.fa	ACCORD	49
D.mel.A7.fa	TRANSIB4	49
D.mel.A7.fa	Q	5
D.mel.A7.fa	DMGYPF1A	49
D.mel.A7.fa	MARINER2	49
D.mel.A7.fa	DMTRDNA	49
D.mel.A7.fa	G5A	49
D.mel.A7.fa	Beagle2	49
D.mel.A7.fa	DMAURA	49
D.mel.A7.fa	DMZAM	47
D.mel.A7.fa	FW3	49
D.mel.A7.fa	DOC4	49
D.mel.A7.fa	DIVER2	49
D.mel.A7.fa	DOC2	49
D.mel.A7.fa	GYPSY8	42
D.mel.A7.fa	G7	48
D.mel.A7.fa	DMBLPP	49
D.mel.A7.fa	QBERT	48
D.mel.A7.fa	GYPSY3	47
D.mel.A7.fa	GYPSY12	49
D.mel.A7.fa	TABOR	49
D.mel.A7.fa	INVADER6	49
D.mel.A7.fa	LOOPER1_DM	48
D.mel.A7.fa	INVADER3	49
D.mel.A7.fa	TRANSIB2	49
D.mel.A7.fa	G6_DM	49
D.mel.A7.fa	Tinker	49
D.mel.A7.fa	DMU89994	49
D.mel.A7.fa	DMBARI1	49
D.mel.A7.fa	412	49
D.mel.A7.fa	HOPPER2	49
D.mel.A7.fa	JUAN	49
D.mel.A7.fa	DME487856	49
D.mel.A7.fa	SPRINGER	49
D.mel.A7.fa	QUASIMODO	49
D.mel.A7.fa	HEL	49
D.mel.A7.fa	DMTHB1	49
D.mel.A7.fa	TRANSIB1	49
D.mel.A7.fa	G3	48
D.mel.A7.fa	R1-2	49
D.mel.A7.fa	GYPSY5	45
D.mel.A7.fa	RT1C	49
D.mel.A7.fa	S2	49
D.mel.A7.fa	ROXELEMENT	49
D.mel.A7.fa	DMTN1731	49
D.mel.A7.fa	INVADER2	49
D.mel.A7.fa	GYPSY2	48
D.mel.A7.fa	DMTOM1_LTR	49
D.mel.A7.fa	DMIS176	49
D.mel.A7.fa	BS3	49
D.mel.A7.fa	DMCR1A	49
D.mel.A7.fa	DMPOGOR11	49
D.mel.A7.fa	GYPSY11	48
D.mel.A7.fa	OSV	49
D.mel.A7.fa	ROOA_LTR	48
D.mel.A7.fa	G4_DM	49
D.mel.A7.fa	FW2	49
D.mel.A7.fa	BS4	49
D.mel.A7.fa	TC3	49
D.mel.A7.fa	McCLINTOCK	49
D.mel.A7.fa	AF222049	49
D.mel.A7.fa	G5_DM	49
D.mel.A7.fa	STALKER	47
D.mel.A7.fa	IVK	49
D.mel.A7.fa	DMCOPIA	49
D.mel.A7.fa	Beagle	49
D.mel.A7.fa	BS	49
D.mel.A7.fa	BLOOD	49
D.mel.A7.fa	ROVER	49
D.mel.A7.fa	DMIS297	49
D.mel.A7.fa	DMLINEJA	49
D.mel.A7.fa	FB	13
D.mel.A7.fa	DM_ROO	49
D.mel.A7.fa	DMRTMGD1	49
D.mel.A7.fa	INE1	49
D.mel.A7.fa	TC1-2	49
D.mel.A7.fa	AF541951	49
D.mel.A7.fa	JOCKEY2	49
D.mel.A7.fa	TARTC	35
D.mel.A7.fa	DM06920	49
D.mel.A7.fa	TAHRE	49
D.mel.A7.fa	AY561850	33
D.mel.A7.fa	GYPSY7	48
D.mel.A7.fa	GYPSY10	49
D.mel.A7.fa	DMHFL1	41
D.mel.A7.fa	DMDM11	49
D.mel.A7.fa	STALKER4	49
D.mel.A7.fa	F	49
D.mel.A7.fa	TIRANT	42
D.mel.A7.fa	DMRER2DM	49
D.mel.A7.fa	INVADER	49
D.mel.A7.fa	INVADER4	49
D.mel.A7.fa	DM88	49
D.mel.A7.fa	STALKER3	49
D.mel.A7.fa	GYPSY9	25
D.mel.A7.fa	GYPSY4	49
D.mel.A7.fa	DMRER1DM	49
