name	present	absent	rarity
rnd-4_family-1067#LTR/Gypsy	57	0	1
rnd-4_family-1096#LTR/Pao	57	0	1
rnd-4_family-1191#LTR/Gypsy	57	0	1
rnd-4_family-1195#LTR/Pao	57	0	1
rnd-4_family-1196#LTR/Pao	57	0	1
rnd-4_family-1278#LTR/Gypsy	57	0	1
rnd-4_family-1314#LTR/Gypsy	57	0	1
rnd-4_family-1317#LINE/I-Jockey	57	0	1
rnd-4_family-1318#LTR/Gypsy	57	0	1
rnd-4_family-1320#LTR/Gypsy	57	0	1
rnd-4_family-1324#LTR/Gypsy	57	0	1
rnd-4_family-1388#LTR/Gypsy	57	0	1
rnd-4_family-1389#LINE/I-Jockey	57	0	1
rnd-4_family-1396#LTR/Gypsy	57	0	1
rnd-4_family-1409#LTR/Pao	57	0	1
rnd-4_family-1420#LINE/R1	57	0	1
rnd-4_family-1573#LTR/Gypsy	57	0	1
rnd-4_family-1612#LTR/Pao	57	0	1
rnd-4_family-1632#LINE/I	57	0	1
rnd-4_family-1848#LTR/Gypsy	57	0	1
rnd-4_family-190#LINE/R1	57	0	1
rnd-4_family-2015#LTR/Gypsy	57	0	1
rnd-4_family-2016#LTR/Copia	57	0	1
rnd-4_family-2110#LTR/Gypsy	57	0	1
rnd-4_family-2136#LTR/Gypsy	57	0	1
rnd-4_family-2144#LTR/Gypsy	57	0	1
rnd-4_family-2145#LTR/Gypsy	57	0	1
rnd-4_family-2239#LINE/I	57	0	1
rnd-4_family-2241#LINE/I	57	0	1
rnd-4_family-2310#LINE/R1	57	0	1
rnd-4_family-2315#LTR/Gypsy	57	0	1
rnd-4_family-2325#LTR/Gypsy	57	0	1
rnd-4_family-2410#DNA/TcMar-Tc1	57	0	1
rnd-4_family-2562#LINE/I	57	0	1
rnd-4_family-2917#LTR/Gypsy	57	0	1
rnd-4_family-2987#LTR/Gypsy	57	0	1
rnd-4_family-3266#LTR/Gypsy	57	0	1
rnd-4_family-3298#LTR/Gypsy	57	0	1
rnd-4_family-3330#LTR/Gypsy	57	0	1
rnd-4_family-3428#DNA/TcMar-Tc1	57	0	1
rnd-4_family-3996#LTR/Gypsy	57	0	1
rnd-4_family-4114#LINE/R2	57	0	1
rnd-4_family-4270#LTR/Gypsy	57	0	1
rnd-4_family-4288#LTR/Gypsy	57	0	1
rnd-4_family-432#LTR/Gypsy	57	0	1
rnd-4_family-4466#LTR/Gypsy	57	0	1
rnd-4_family-4777#LTR/Pao	57	0	1
rnd-4_family-5151#DNA/TcMar-Tc1	57	0	1
rnd-4_family-5152#LINE/I-Jockey	57	0	1
rnd-4_family-5173#LTR/Gypsy	57	0	1
rnd-4_family-5335#LTR/Pao	57	0	1
rnd-4_family-5555#RC/Helitron	57	0	1
rnd-4_family-5660#LTR/Pao	57	0	1
rnd-4_family-568#LTR/Pao	57	0	1
rnd-4_family-576#LINE/R1-LOA	57	0	1
rnd-4_family-577#LINE/R1-LOA	57	0	1
rnd-4_family-593#LINE/I	57	0	1
rnd-4_family-6075#DNA/MULE-NOF	57	0	1
rnd-4_family-614#DNA/hAT-hobo	57	0	1
rnd-4_family-6572#LTR/Gypsy	57	0	1
rnd-4_family-6677#LTR/Pao	57	0	1
rnd-4_family-67#LTR/Gypsy	57	0	1
rnd-4_family-68#DNA/TcMar-Tc1	57	0	1
rnd-4_family-71#DNA/TcMar-Mariner	57	0	1
rnd-4_family-712#LINE/R1	57	0	1
rnd-4_family-717#LTR/Gypsy	57	0	1
rnd-4_family-719#LTR/Gypsy	57	0	1
rnd-4_family-72#LINE/I-Jockey	57	0	1
rnd-4_family-720#LTR/Gypsy	57	0	1
rnd-4_family-736#LTR/Gypsy	57	0	1
rnd-4_family-738#DNA/TcMar-Mariner	57	0	1
rnd-4_family-740#LTR/Copia	57	0	1
rnd-4_family-744#DNA/TcMar-Tc1	57	0	1
rnd-4_family-75#DNA/CMC-Transib	57	0	1
rnd-4_family-754#LINE/I-Jockey	57	0	1
rnd-4_family-792#LTR/Gypsy	57	0	1
rnd-4_family-796#LTR/Gypsy	57	0	1
rnd-4_family-81#DNA/MULE-MuDR	57	0	1
rnd-4_family-864#LTR/Gypsy	57	0	1
rnd-4_family-9015#LINE/R2-NeSL	57	0	1
rnd-4_family-9308#LTR/Gypsy	57	0	1
rnd-4_family-972#LTR/Gypsy	57	0	1
rnd-4_family-977#LTR/Gypsy	57	0	1
rnd-4_family-983#LINE/I-Jockey	57	0	1
rnd-4_family-995#LTR/Pao	57	0	1
