name	present	absent	rarity
rnd-4_family-2506#LTR/Gypsy	45	0	1
rnd-4_family-2539#LTR/Gypsy	45	0	1
rnd-4_family-2578#LTR/Gypsy	45	0	1
rnd-4_family-2584#LINE/I-Jockey	45	0	1
rnd-4_family-2689#LTR/Gypsy	45	0	1
rnd-4_family-2694#LTR/Gypsy	45	0	1
rnd-4_family-286#LTR/Gypsy	45	0	1
rnd-4_family-2863#LTR/Gypsy	45	0	1
rnd-4_family-2906#LINE/I-Jockey	45	0	1
rnd-4_family-2950#LTR/Gypsy	45	0	1
rnd-4_family-3050#LTR/Pao	45	0	1
rnd-4_family-3069#LTR/Gypsy	45	0	1
rnd-4_family-3259#DNA/CMC-Transib	45	0	1
rnd-4_family-3271#DNA/TcMar-Tc1	45	0	1
rnd-4_family-3276#LTR/Gypsy	45	0	1
rnd-4_family-3286#DNA/PIF-Harbinger	45	0	1
rnd-4_family-3457#DNA/CMC-Transib	45	0	1
rnd-4_family-3522#LTR/Gypsy	45	0	1
rnd-4_family-356#LTR/Copia	45	0	1
rnd-4_family-360#LTR/Gypsy	45	0	1
rnd-4_family-361#LTR/Gypsy	45	0	1
rnd-4_family-3628#LINE/I-Jockey	45	0	1
rnd-4_family-3629#LINE/I-Jockey	45	0	1
rnd-4_family-4#LINE/I-Jockey	45	0	1
rnd-4_family-4174#LTR/Gypsy	45	0	1
rnd-4_family-4360#LTR/Gypsy	45	0	1
rnd-4_family-454#LINE/I-Jockey	45	0	1
rnd-4_family-4897#LINE/I-Jockey	45	0	1
rnd-4_family-5307#DNA/P	45	0	1
rnd-4_family-5722#LINE/I-Jockey	45	0	1
rnd-4_family-672#LTR/Pao	45	0	1
rnd-4_family-678#LTR/Gypsy	45	0	1
rnd-4_family-689#LTR/Gypsy	45	0	1
rnd-4_family-697#LTR/Gypsy	45	0	1
rnd-4_family-703#RC/Helitron	45	0	1
rnd-4_family-8#LTR/Pao	45	0	1
rnd-4_family-976#LTR/Gypsy	45	0	1
rnd-4_family-998#LTR/Pao	45	0	1
