ID	load	families_present
ERR899393	392	0.9924050632911392
ERR899394	392	0.9924050632911392
ERR899395	393	0.9949367088607595
ERR899396	393	0.9949367088607595
ERR899397	393	0.9949367088607595
ERR899398	393	0.9949367088607595
ERR899399	393	0.9949367088607595
ERR899400	392	0.9924050632911392
ERR899401	393	0.9949367088607595
ERR899402	393	0.9949367088607595
ERR899403	393	0.9949367088607595
ERR899404	392	0.9924050632911392
ERR899405	393	0.9949367088607595
ERR899406	393	0.9949367088607595
ERR899407	392	0.9924050632911392
ERR899408	393	0.9949367088607595
ERR899409	392	0.9924050632911392
ERR899410	391	0.9898734177215189
ERR899411	391	0.9898734177215189
ERR899412	393	0.9949367088607595
ERR899413	393	0.9949367088607595
ERR899414	392	0.9924050632911392
ERR899415	391	0.9898734177215189
ERR899416	392	0.9924050632911392
ERR899777	393	0.9949367088607595
ERR899778	392	0.9924050632911392
ERR899779	393	0.9949367088607595
ERR9745914	393	0.9949367088607595
ERR9745915	393	0.9949367088607595
ERR9745916	392	0.9924050632911392
ERR9745917	394	0.9974683544303797
SRR7768884	390	0.9873417721518988
SRR7768885	387	0.979746835443038
SRR7768886	390	0.9873417721518988
SRR7768887	393	0.9949367088607595
SRR7768888	388	0.9822784810126582
SRR7768889	387	0.979746835443038
SRR7768890	388	0.9822784810126582
SRR7768891	392	0.9924050632911392
SRR7768892	392	0.9924050632911392
SRR7768893	392	0.9924050632911392
SRR7768894	391	0.9898734177215189
SRR7768895	391	0.9898734177215189
SRR7768896	391	0.9898734177215189
SRR7768897	392	0.9924050632911392
SRR7768898	389	0.9848101265822785
SRR7768899	392	0.9924050632911392
SRR7768900	389	0.9848101265822785
SRR7768901	391	0.9898734177215189
SRR7768902	391	0.9898734177215189
SRR7768903	393	0.9949367088607595
SRR7768904	390	0.9873417721518988
SRR7768905	390	0.9873417721518988
SRR7768906	392	0.9924050632911392
SRR7768907	392	0.9924050632911392
SRR7768908	368	0.9316455696202531
SRR7768909	391	0.9898734177215189
SRR7768910	390	0.9873417721518988
SRR7768911	392	0.9924050632911392
SRR7768912	387	0.979746835443038
SRR7768913	392	0.9924050632911392
SRR7768914	392	0.9924050632911392
SRR7768915	389	0.9848101265822785
SRR7768916	392	0.9924050632911392
SRR7768917	392	0.9924050632911392
SRR7768918	391	0.9898734177215189
SRR7768919	392	0.9924050632911392
SRR7768920	391	0.9898734177215189
SRR7768921	386	0.9772151898734177
SRR7768922	388	0.9822784810126582
SRR7768923	391	0.9898734177215189
SRR7768924	393	0.9949367088607595
SRR7768925	391	0.9898734177215189
SRR7768926	389	0.9848101265822785
SRR7768927	393	0.9949367088607595
SRR7768928	392	0.9924050632911392
SRR7768929	391	0.9898734177215189
SRR7768930	392	0.9924050632911392
SRR7768931	392	0.9924050632911392
SRR7768932	393	0.9949367088607595
SRR7768933	390	0.9873417721518988
