te	present_in	absent	rarity
rnd-1_family-73#Unknown	107	484	0.18104906937394247
rnd-1_family-74#DNA/hAT	591	0	1
rnd-1_family-77#Unknown	591	0	1
rnd-1_family-8#Unknown	591	0	1
rnd-1_family-81#Unknown	587	4	0.9932318104906938
rnd-1_family-82#DNA/TcMar-Tc1	591	0	1
rnd-1_family-85#Satellite	591	0	1
rnd-1_family-86#Satellite	511	80	0.8646362098138748
rnd-1_family-94#Satellite	570	21	0.9644670050761421
rnd-1_family-97#Satellite	591	0	1
rnd-1_family-98#DNA/TcMar-Tc1	591	0	1
rnd-1_family-99#DNA/TcMar-Tc4	591	0	1
rnd-2_family-20#DNA/PiggyBac	591	0	1
rnd-2_family-393#Unknown	537	54	0.9086294416243654
rnd-3_family-1023#LINE/RTE-RTE	591	0	1
rnd-3_family-371#DNA	591	0	1
rnd-3_family-399#Unknown	64	527	0.10829103214890017
rnd-3_family-409#Unknown	591	0	1
rnd-3_family-588#Unknown	224	367	0.3790186125211506
rnd-3_family-599#LINE/I-Jockey	5	586	0.008460236886632826
rnd-3_family-843#Unknown	591	0	1
rnd-4_family-1019#Unknown	580	11	0.9813874788494078
rnd-4_family-1036#LINE/CR1	591	0	1
rnd-4_family-1108#DNA/TcMar-Tc1	591	0	1
rnd-4_family-1182#Unknown	24	567	0.04060913705583756
rnd-4_family-1233#Unknown	590	1	0.9983079526226735
rnd-4_family-1299#Unknown	591	0	1
rnd-4_family-1368#Unknown	422	169	0.7140439932318104
rnd-4_family-1416#Unknown	591	0	1
rnd-4_family-1453#DNA	74	517	0.12521150592216582
rnd-4_family-1494#DNA/CMC-Mirage	591	0	1
rnd-4_family-1604#DNA/MULE-MuDR	591	0	1
rnd-4_family-1860#DNA/MULE-MuDR	591	0	1
rnd-4_family-1972#DNA/hAT	591	0	1
rnd-4_family-1993#Unknown	442	149	0.7478849407783418
rnd-4_family-2106#Unknown	591	0	1
rnd-4_family-2141#Unknown	591	0	1
rnd-4_family-2341#RC/Helitron	591	0	1
rnd-4_family-237#Unknown	591	0	1
rnd-4_family-2406#Unknown	591	0	1
rnd-4_family-2481#Unknown	591	0	1
rnd-4_family-2584#Unknown	583	8	0.9864636209813875
rnd-4_family-2594#LTR/Pao	591	0	1
rnd-4_family-2942#LINE/CR1	591	0	1
rnd-4_family-2974#LTR/Pao	591	0	1
rnd-4_family-30#Unknown	551	40	0.9323181049069373
rnd-4_family-3088#Unknown	301	290	0.5093062605752962
rnd-4_family-329#Unknown	436	155	0.7377326565143824
rnd-4_family-3793#Unknown	591	0	1
rnd-4_family-391#Unknown	591	0	1
rnd-4_family-417#Unknown	591	0	1
rnd-4_family-442#DNA	591	0	1
rnd-4_family-488#LTR/Pao	591	0	1
rnd-4_family-489#Unknown	591	0	1
rnd-4_family-4894#Unknown	80	511	0.1353637901861252
rnd-4_family-4908#Unknown	8	583	0.01353637901861252
rnd-4_family-508#DNA/MULE-MuDR	591	0	1
rnd-4_family-5349#Satellite	591	0	1
rnd-4_family-539#DNA/MULE-MuDR	591	0	1
rnd-4_family-5437#DNA/PiggyBac	591	0	1
rnd-4_family-565#Unknown	395	196	0.6683587140439933
rnd-4_family-5663#Unknown	591	0	1
rnd-4_family-6218#Unknown	591	0	1
rnd-4_family-686#Unknown	591	0	1
rnd-4_family-6942#Unknown	126	465	0.2131979695431472
rnd-4_family-73#Unknown	55	536	0.09306260575296109
rnd-4_family-799#Unknown	591	0	1
rnd-4_family-812#Unknown	591	0	1
rnd-4_family-819#Satellite	591	0	1
rnd-4_family-829#LINE/CR1	591	0	1
rnd-4_family-886#DNA/MULE-MuDR	591	0	1
