ID	load	families_present
AB4	174	0.8969072164948454
BRC20067	176	0.9072164948453608
BRC20113	181	0.9329896907216495
BRC20231	177	0.9123711340206185
BRC20263	179	0.9226804123711341
BRC20558	184	0.9484536082474226
CB4856	173	0.8917525773195877
CB4932	174	0.8969072164948454
CX11254	172	0.8865979381443299
CX11271	176	0.9072164948453608
CX11276	173	0.8917525773195877
CX11285	170	0.8762886597938144
CX11292	175	0.9020618556701031
CX11307	175	0.9020618556701031
DL200	175	0.9020618556701031
DL226	176	0.9072164948453608
DL238	165	0.8505154639175257
ECA1069	179	0.9226804123711341
ECA1071	179	0.9226804123711341
ECA1073	177	0.9123711340206185
ECA1074	177	0.9123711340206185
ECA1185	178	0.9175257731958762
ECA1186	178	0.9175257731958762
ECA1190	179	0.9226804123711341
ECA1191	176	0.9072164948453608
ECA1192	178	0.9175257731958762
ECA1195	180	0.9278350515463918
ECA1197	183	0.9432989690721649
ECA1199	181	0.9329896907216495
ECA1200	179	0.9226804123711341
ECA1203	181	0.9329896907216495
ECA1206	180	0.9278350515463918
ECA1209	182	0.9381443298969072
ECA1217	182	0.9381443298969072
ECA1220	176	0.9072164948453608
ECA1225	177	0.9123711340206185
ECA1228	182	0.9381443298969072
ECA1229	182	0.9381443298969072
ECA1232	179	0.9226804123711341
ECA1236	180	0.9278350515463918
ECA1240	178	0.9175257731958762
ECA1242	180	0.9278350515463918
ECA1250	180	0.9278350515463918
ECA1253	178	0.9175257731958762
ECA1256	178	0.9175257731958762
ECA1261	180	0.9278350515463918
ECA1262	181	0.9329896907216495
ECA1265	182	0.9381443298969072
ECA1269	181	0.9329896907216495
ECA1271	178	0.9175257731958762
ECA1272	179	0.9226804123711341
ECA1277	182	0.9381443298969072
ECA1283	178	0.9175257731958762
ECA1284	182	0.9381443298969072
ECA1287	186	0.9587628865979382
ECA1288	180	0.9278350515463918
ECA1289	177	0.9123711340206185
ECA1290	184	0.9484536082474226
ECA1291	179	0.9226804123711341
ECA1292	179	0.9226804123711341
ECA1294	179	0.9226804123711341
ECA1316	175	0.9020618556701031
ECA1385	179	0.9226804123711341
ECA1391	178	0.9175257731958762
ECA1409	183	0.9432989690721649
ECA1413	178	0.9175257731958762
ECA1415	178	0.9175257731958762
ECA1441	179	0.9226804123711341
ECA1467	177	0.9123711340206185
ECA1691	182	0.9381443298969072
ECA1713	174	0.8969072164948454
ECA1715	179	0.9226804123711341
ECA1723	177	0.9123711340206185
ECA1729	181	0.9329896907216495
ECA1745	183	0.9432989690721649
ECA1767	185	0.9536082474226805
ECA1771	184	0.9484536082474226
ECA1793	184	0.9484536082474226
ECA1805	179	0.9226804123711341
ECA1813	182	0.9381443298969072
ECA1823	177	0.9123711340206185
ECA1833	175	0.9020618556701031
ECA1837	174	0.8969072164948454
ECA1859	187	0.9639175257731959
ECA1861	181	0.9329896907216495
ECA1863	180	0.9278350515463918
ECA1873	177	0.9123711340206185
ECA1878	185	0.9536082474226805
ECA1885	185	0.9536082474226805
ECA1889	180	0.9278350515463918
ECA1891	181	0.9329896907216495
ECA190	169	0.8711340206185567
ECA1901	179	0.9226804123711341
ECA1907	185	0.9536082474226805
ECA191	177	0.9123711340206185
ECA1915	182	0.9381443298969072
ECA192	169	0.8711340206185567
ECA1921	182	0.9381443298969072
ECA1925	183	0.9432989690721649
ECA1929	175	0.9020618556701031
ECA1943	178	0.9175257731958762
ECA1953	176	0.9072164948453608
ECA1975	178	0.9175257731958762
ECA1977	180	0.9278350515463918
ECA1993	182	0.9381443298969072
ECA1995	176	0.9072164948453608
ECA2041	181	0.9329896907216495
ECA2043	178	0.9175257731958762
ECA2075	174	0.8969072164948454
ECA2081	179	0.9226804123711341
ECA2099	179	0.9226804123711341
ECA2103	179	0.9226804123711341
ECA2107	179	0.9226804123711341
ECA2111	184	0.9484536082474226
ECA2117	179	0.9226804123711341
ECA2135	176	0.9072164948453608
ECA2143	175	0.9020618556701031
ECA2179	181	0.9329896907216495
ECA2183	177	0.9123711340206185
ECA2191	185	0.9536082474226805
ECA2203	182	0.9381443298969072
ECA2255	178	0.9175257731958762
ECA2283	180	0.9278350515463918
ECA2289	171	0.8814432989690721
ECA2291	178	0.9175257731958762
ECA2295	181	0.9329896907216495
ECA2313	178	0.9175257731958762
ECA2319	176	0.9072164948453608
ECA2324	185	0.9536082474226805
ECA2326	175	0.9020618556701031
ECA2338	177	0.9123711340206185
ECA2340	177	0.9123711340206185
ECA2344	177	0.9123711340206185
ECA2362	176	0.9072164948453608
ECA2367	179	0.9226804123711341
ECA2375	179	0.9226804123711341
ECA2401	178	0.9175257731958762
ECA2421	182	0.9381443298969072
ECA2429	182	0.9381443298969072
ECA243	174	0.8969072164948454
ECA2439	178	0.9175257731958762
ECA245	172	0.8865979381443299
ECA246	173	0.8917525773195877
ECA2467	177	0.9123711340206185
ECA2475	180	0.9278350515463918
ECA248	171	0.8814432989690721
ECA2481	179	0.9226804123711341
ECA2482	187	0.9639175257731959
ECA2489	180	0.9278350515463918
ECA249	176	0.9072164948453608
ECA251	175	0.9020618556701031
ECA2521	178	0.9175257731958762
ECA2523	183	0.9432989690721649
ECA2528	179	0.9226804123711341
ECA2529	181	0.9329896907216495
ECA2534	179	0.9226804123711341
ECA2546	181	0.9329896907216495
ECA2550	179	0.9226804123711341
ECA2557	182	0.9381443298969072
ECA2560	182	0.9381443298969072
ECA2565	185	0.9536082474226805
ECA2571	176	0.9072164948453608
ECA2576	176	0.9072164948453608
ECA2577	184	0.9484536082474226
ECA2580	179	0.9226804123711341
