te	present_in	absent	rarity
rnd-1_family-96#Unknown	1133	2	0.9982378854625551
rnd-1_family-98#LTR/Gypsy	1130	5	0.9955947136563876
rnd-2_family-271#Satellite	1133	2	0.9982378854625551
rnd-2_family-472#Unknown	1127	8	0.9929515418502203
rnd-3_family-1167#Unknown	1054	81	0.9286343612334802
rnd-3_family-1344#RC/Helitron	1130	5	0.9955947136563876
rnd-3_family-1354#Unknown	1050	85	0.9251101321585903
rnd-3_family-1386#Unknown	966	169	0.8511013215859031
rnd-3_family-1405#LINE/L1	1057	78	0.9312775330396476
rnd-3_family-1441#DNA/Crypton-A	1067	68	0.9400881057268723
rnd-3_family-1483#LINE/L1	0	1135	0
rnd-3_family-15#Unknown	0	1135	0
rnd-3_family-1619#DNA/PIF-Harbinger	1073	62	0.945374449339207
rnd-3_family-216#LINE/L1	0	1135	0
rnd-3_family-2188#LINE/L1	0	1135	0
rnd-3_family-2277#Unknown	1089	46	0.9594713656387666
rnd-3_family-2346#Unknown	1135	0	1
rnd-3_family-389#Unknown	1112	23	0.9797356828193833
rnd-3_family-405#LINE/L1	0	1135	0
rnd-3_family-44#Unknown	960	175	0.8458149779735683
rnd-3_family-456#Unknown	206	929	0.1814977973568282
rnd-3_family-458#LTR/Copia	1135	0	1
rnd-3_family-613#Unknown	0	1135	0
rnd-3_family-676#LINE/L1	0	1135	0
rnd-3_family-719#Unknown	1134	1	0.9991189427312775
rnd-3_family-752#Unknown	1135	0	1
rnd-3_family-797#LINE/L1	0	1135	0
rnd-3_family-881#LTR/Copia	1047	88	0.9224669603524229
rnd-4_family-1035#tRNA	1135	0	1
rnd-4_family-10507#Unknown	963	172	0.8484581497797357
rnd-4_family-1072#LTR/Gypsy	369	766	0.3251101321585903
rnd-4_family-1119#Unknown	639	496	0.5629955947136563
rnd-4_family-1127#LTR/Copia	3	1132	0.0026431718061674008
rnd-4_family-11478#Unknown	855	280	0.7533039647577092
rnd-4_family-1185#Unknown	0	1135	0
rnd-4_family-12466#Unknown	1129	6	0.9947136563876652
rnd-4_family-1355#Unknown	1135	0	1
rnd-4_family-1357#LTR/Copia	884	251	0.7788546255506608
rnd-4_family-13588#DNA/MULE-MuDR	1135	0	1
rnd-4_family-1520#LTR/Gypsy	1135	0	1
rnd-4_family-1534#LTR/Copia	417	718	0.3674008810572687
rnd-4_family-1580#LTR/Copia	1	1134	8.81057268722467e-4
rnd-4_family-1609#DNA/MULE-MuDR	1135	0	1
rnd-4_family-1616#Unknown	1124	11	0.9903083700440528
rnd-4_family-1628#LTR/Gypsy	1135	0	1
rnd-4_family-1673#DNA/CMC-EnSpm	1135	0	1
rnd-4_family-1686#DNA/CMC-EnSpm	951	184	0.8378854625550661
rnd-4_family-17311#Unknown	1018	117	0.8969162995594714
rnd-4_family-1750#DNA/TcMar-Pogo	1120	15	0.986784140969163
rnd-4_family-1758#LTR/Gypsy	1134	1	0.9991189427312775
rnd-4_family-1762#Unknown	1135	0	1
rnd-4_family-18041#RC/Helitron	1135	0	1
rnd-4_family-1818#Unknown	1047	88	0.9224669603524229
rnd-4_family-1829#LTR/Copia	1134	1	0.9991189427312775
rnd-4_family-1841#Unknown	1120	15	0.986784140969163
rnd-4_family-1850#DNA/hAT-Ac	905	230	0.7973568281938326
rnd-4_family-1893#Unknown	1094	41	0.9638766519823788
rnd-4_family-2008#Unknown	1135	0	1
rnd-4_family-2059#DNA/hAT-Tip100	1021	114	0.8995594713656387
rnd-4_family-2081#Unknown	1134	1	0.9991189427312775
rnd-4_family-2088#Unknown	626	509	0.5515418502202644
rnd-4_family-209#Unknown	981	154	0.8643171806167401
rnd-4_family-2168#Unknown	935	200	0.8237885462555066
rnd-4_family-2176#Unknown	369	766	0.3251101321585903
